GF_pct,Infill_pct,Layer_mm,Nozzle_C,Bed_C,Speed_mm_s
0.0,50,0.1,220,90,90
0.0,50,0.1,230,90,90
0.0,50,0.1,240,90,90
0.0,50,0.15,220,90,90
0.0,50,0.15,230,90,90
0.0,50,0.15,240,90,90
0.0,50,0.2,220,90,90
0.0,50,0.2,230,90,90
0.0,50,0.2,240,90,90
0.0,75,0.1,220,90,90
0.0,75,0.1,230,90,90
0.0,75,0.1,240,90,90
0.0,75,0.15,220,90,90
0.0,75,0.15,230,90,90
0.0,75,0.15,240,90,90
0.0,75,0.2,220,90,90
0.0,75,0.2,230,90,90
0.0,75,0.2,240,90,90
0.0,80,0.02,230,70,40
0.0,90,0.02,220,60,40
0.0,90,0.02,225,65,40
0.0,90,0.2,240,75,50
0.0,100,0.1,200,90,60
0.0,100,0.1,220,90,30
0.0,100,0.1,220,90,60
0.0,100,0.1,220,90,90
0.0,100,0.1,230,90,90
0.0,100,0.1,230,100,10
0.0,100,0.1,230,100,50
0.0,100,0.1,230,100,100
0.0,100,0.1,240,60,33
0.0,100,0.1,240,60,50
0.0,100,0.1,240,60,66
0.0,100,0.1,240,80,5
0.0,100,0.1,240,90,60
0.0,100,0.1,240,90,90
0.0,100,0.1,248,100,60
0.0,100,0.1,250,60,33
0.0,100,0.1,250,60,50
0.0,100,0.1,250,60,66
0.0,100,0.1,250,100,10
0.0,100,0.1,250,100,50
0.0,100,0.1,250,100,100
0.0,100,0.1,260,60,33
0.0,100,0.1,260,60,50
0.0,100,0.1,260,60,66
0.0,100,0.1,270,100,10
0.0,100,0.1,270,100,50
0.0,100,0.1,270,100,100
0.0,100,0.15,200,90,30
0.0,100,0.15,200,90,60
0.0,100,0.15,200,90,90
0.0,100,0.15,220,90,30
0.0,100,0.15,220,90,60
0.0,100,0.15,220,90,90
0.0,100,0.15,230,90,90
0.0,100,0.15,240,90,60
0.0,100,0.15,240,90,90
0.0,100,0.2,200,90,60
0.0,100,0.2,220,90,60
0.0,100,0.2,220,90,90
0.0,100,0.2,230,90,90
0.0,100,0.2,230,100,10
0.0,100,0.2,230,100,50
0.0,100,0.2,230,100,100
0.0,100,0.2,240,60,33
0.0,100,0.2,240,60,50
0.0,100,0.2,240,60,66
0.0,100,0.2,240,75,50
0.0,100,0.2,240,90,60
0.0,100,0.2,240,90,90
0.0,100,0.2,240,100,50
0.0,100,0.2,250,60,33
0.0,100,0.2,250,60,50
0.0,100,0.2,250,60,66
0.0,100,0.2,250,100,10
0.0,100,0.2,250,100,50
0.0,100,0.2,250,100,100
0.0,100,0.2,255,100,30
0.0,100,0.2,260,60,33
0.0,100,0.2,260,60,50
0.0,100,0.2,260,60,66
0.0,100,0.2,270,100,10
0.0,100,0.2,270,100,50
0.0,100,0.2,270,100,100
0.0,100,0.29,234,100,25
0.0,100,0.3,240,60,33
0.0,100,0.3,240,60,50
0.0,100,0.3,240,60,66
0.0,100,0.3,250,60,33
0.0,100,0.3,250,60,50
0.0,100,0.3,250,60,66
0.0,100,0.3,250,80,50
0.0,100,0.3,260,60,33
0.0,100,0.3,260,60,50
0.0,100,0.3,260,60,66
0.0,100,0.4,207,25,60
0.0,100,0.4,230,100,10
0.0,100,0.4,230,100,50
0.0,100,0.4,230,100,100
0.0,100,0.4,250,25,60
0.0,100,0.4,250,100,10
0.0,100,0.4,250,100,50
0.0,100,0.4,250,100,100
0.0,100,0.4,255,100,30
0.0,100,0.4,270,100,10
0.0,100,0.4,270,100,50
0.0,100,0.4,270,100,100
1.0,100,0.3,240,75,60
3.0,100,0.3,240,75,60
3.5,100,0.2,290,110,30
3.5,100,0.4,290,110,30
5.0,100,0.3,240,75,60
10.0,100,0.2,240,100,50
10.0,100,0.4,220,90,8
10.0,100,0.4,220,90,14
10.0,100,0.4,220,90,20
10.0,100,0.4,230,90,8
10.0,100,0.4,230,90,14
10.0,100,0.4,230,90,20
10.0,100,0.4,240,90,8
10.0,100,0.4,240,90,14
10.0,100,0.4,240,90,20
15.0,100,0.1,240,80,5
15.0,100,0.1,248,100,60
20.0,100,0.4,250,25,60
30.0,100,0.1,240,80,5
30.0,100,0.1,248,100,60
40.0,100,0.4,225,25,60
